,Rank,Year,Title,Worldwide,Domestic,International
0,1,2009,Avatar,2923706026,785221649.0,2138484377.0
1,2,2019,Avengers: Endgame,2717503922,858373000.0,1859130922.0
2,3,2022,Avatar: The Way of Water,2322902023,688809501.0,1634092522.0
3,4,1997,Titanic,2223048786,674460013.0,1548588773.0
4,5,2015,Star Wars Ep. VII: The Force Awakens,2056046835,936662225.0,1119384610.0
5,6,2018,Avengers: Infinity War,2048158241,678815482.0,1369342759.0
6,7,2025,Ne Zha 2 (哪吒之魔童闹海),2001155094,23251218.0,1977903876.0
7,8,2021,Spider-Man: No Way Home,1921206586,814811535.0,1106395051.0
8,9,2024,Inside Out 2,1698831782,652980194.0,1045851588.0
9,10,2015,Jurassic World,1671063641,653406625.0,1017657016.0
10,11,2019,The Lion King,1661454403,543638043.0,1117816360.0
11,12,2012,The Avengers,1515100211,623357910.0,891742301.0
12,13,2015,Furious 7,1510065395,353007020.0,1157058375.0
13,14,2022,Top Gun: Maverick,1452163362,718732821.0,733430541.0
14,15,2019,Frozen II,1451653316,477373578.0,974279738.0
15,16,2023,Barbie,1447685476,636785476.0,810900000.0
16,17,2015,Avengers: Age of Ultron,1395316979,459005868.0,936311111.0
17,18,2023,The Super Mario Bros. Movie,1359226275,574934330.0,784291945.0
18,19,2024,Deadpool & Wolverine,1338071348,636745858.0,701325490.0
19,20,2018,Black Panther,1334157082,700059566.0,634097516.0
20,21,2017,Star Wars Ep. VIII: The Last Jedi,1322581071,620181382.0,702399689.0
21,22,2011,Harry Potter and the Deathly Hallows:…,1311412625,382088758.0,929323867.0
22,23,2018,Jurassic World: Fallen Kingdom,1308323302,417719760.0,890603542.0
23,24,2013,Frozen,1269758653,400953009.0,868805644.0
24,25,2017,Beauty and the Beast,1259761686,504014165.0,755747521.0
25,26,2018,Incredibles 2,1242805359,608581744.0,634223615.0
26,27,2013,Iron Man 3,1214630956,408992272.0,805638684.0
27,28,2017,The Fate of the Furious,1189009332,225764765.0,963244567.0
28,29,2015,Minions,1157271759,336045770.0,821225989.0
29,30,2016,Captain America: Civil War,1151899586,408084349.0,743815237.0
30,31,2018,Aquaman,1148861807,335061807.0,813800000.0
31,32,2019,Spider-Man: Far From Home,1132298674,391362492.0,740936182.0
32,33,2019,Captain Marvel,1129576094,426829839.0,702746255.0
33,34,2003,The Lord of the Rings: The Return of …,1123883835,381518844.0,742364991.0
34,35,2011,Transformers: Dark of the Moon,1123794079,352390543.0,771403536.0
35,36,2012,Skyfall,1110526981,304360277.0,806166704.0
36,37,2014,Transformers: Age of Extinction,1104054072,245439076.0,858614996.0
37,38,2012,The Dark Knight Rises,1082228107,448139099.0,634089008.0
38,39,2019,Joker,1078751311,335451311.0,743300000.0
39,40,2019,Toy Story 4,1071177215,434038008.0,637139207.0
40,41,2019,Star Wars: The Rise of Skywalker,1069951814,515202542.0,554749272.0
41,42,2010,Toy Story 3,1068879522,415004880.0,653874642.0
42,43,2006,Pirates of the Caribbean: Dead Man’s …,1066179725,423315812.0,642863913.0
43,44,2024,Moana 2,1059135998,460405297.0,598730701.0
44,45,1993,Jurassic Park,1058454230,415404543.0,643049687.0
45,46,2016,Rogue One: A Star Wars Story,1055083596,533539991.0,521543605.0
46,47,1999,Star Wars Ep. I: The Phantom Menace,1046513456,487574671.0,558938785.0
47,48,2011,Pirates of the Caribbean: On Stranger…,1045713802,241071802.0,804642000.0
48,49,2019,Aladdin,1042126107,355559216.0,686566891.0
49,50,2025,Lilo & Stitch,1037928575,423778855.0,614149720.0
50,51,2017,Despicable Me 3,1032809657,264624300.0,768185357.0
51,52,2010,Alice in Wonderland,1025491110,334191110.0,691300000.0
52,53,2016,Finding Dory,1025006125,486295561.0,538710564.0
53,54,2016,Zootopia,1018518000,341268248.0,677249752.0
54,55,2012,The Hobbit: An Unexpected Journey,1014938545,303003568.0,711934977.0
55,56,2008,The Dark Knight,1010086005,536625724.0,473460281.0
56,57,2022,Jurassic World: Dominion,1004004592,376851080.0,627153512.0
57,58,1994,The Lion King,988389726,423981226.0,564408500.0
58,59,2023,Oppenheimer,976757255,330078895.0,646678360.0
59,60,2013,Despicable Me 2,975216835,368065385.0,607151450.0
60,61,2024,Despicable Me 4,972964428,361004205.0,611960223.0
61,62,2001,Harry Potter and the Sorcerer’s Stone,962575067,317871467.0,644703600.0
62,63,2017,Jumanji: Welcome to the Jungle,961632807,404508916.0,557123891.0
63,64,2007,Pirates of the Caribbean: At World’s …,960996492,309420425.0,651576067.0
64,65,2013,The Hobbit: The Desolation of Smaug,959358436,258241522.0,701116914.0
65,66,2025,A Minecraft Movie,957160145,423949195.0,533210950.0
66,67,2022,Doctor Strange in the Multiverse of M…,952224986,411331607.0,540893379.0
67,68,2016,The Jungle Book,950697998,364001123.0,586696875.0
68,69,2010,Harry Potter and the Deathly Hallows:…,943476160,297414693.0,646061467.0
69,70,2014,The Hobbit: The Battle of the Five Ar…,940323039,255119788.0,685203251.0
70,71,2022,Minions: The Rise of Gru,937706494,370549695.0,567156799.0
71,72,2007,Harry Potter and the Order of the Pho…,937444235,293108509.0,644335726.0
72,73,2003,Finding Nemo,936094852,380529370.0,555565482.0
73,74,2004,Shrek 2,933848612,439820881.0,494027731.0
74,75,2009,Harry Potter and the Half-Blood Prince,926055796,302854063.0,623201733.0
75,76,2002,The Lord of the Rings: The Two Towers,921711177,345115396.0,576595781.0
76,77,2005,Star Wars Ep. III: Revenge of the Sith,902891983,414378291.0,488513692.0
77,78,2007,Spider-Man 3,896337268,338007351.0,558329917.0
78,79,2001,The Lord of the Rings: The Fellowship…,894849370,319232617.0,575616753.0
79,80,2009,Ice Age: Dawn of the Dinosaurs,886686817,196573705.0,690113112.0
80,81,2016,The Secret Life of Pets,886013000,369094830.0,516918170.0
81,82,2005,Harry Potter and the Goblet of Fire,885923981,291147424.0,594776557.0
82,83,2012,Ice Age: Continental Drift,879765137,161321843.0,718443294.0
83,84,2018,Bohemian Rhapsody,879088897,216303339.0,662785558.0
84,85,2015,Spectre,879077344,200074175.0,679003169.0
85,86,2017,Spider-Man: Homecoming,878852749,334580976.0,544271773.0
86,87,2002,Harry Potter and the Chamber of Secrets,876145955,263581232.0,612564723.0
87,88,2016,Batman v Superman: Dawn of Justice,874360194,330360194.0,544000000.0
88,89,2017,Guardians of the Galaxy Vol 2,869087963,389813101.0,479274862.0
89,90,2025,Jurassic World Rebirth,868819617,339640400.0,529179217.0
90,91,2013,The Hunger Games: Catching Fire,864808014,424668047.0,440139967.0
91,92,2022,Black Panther: Wakanda Forever,859208836,453829060.0,405379776.0
92,93,2018,Venom,856081053,213511408.0,642569645.0
93,94,2017,Thor: Ragnarok,850482778,315058289.0,535424489.0
94,95,2015,Inside Out,848469454,356461711.0,492007743.0
95,96,2023,Guardians of the Galaxy Vol 3,845555777,358995815.0,486559962.0
96,97,2021,"Hi, Mom (你好, 李焕英)",839098445,,839098445.0
97,98,2009,Transformers: Revenge of the Fallen,836519699,402111870.0,434407829.0
98,99,2012,"The Twilight Saga: Breaking Dawn, Part 2",830314737,292914737.0,537400000.0
99,100,2010,Inception,826873382,293662683.0,533210699.0
100,101,2002,Spider-Man,823929972,405930363.0,417999609.0
101,102,2017,Wonder Woman,822963408,412563408.0,410400000.0
102,103,1996,Independence Day,817400878,306169255.0,511231623.0
103,104,2016,Fantastic Beasts and Where to Find Them,816037575,234037575.0,582000000.0
104,105,2017,Wolf Warrior 2 (战狼2),815740836,2721100.0,813019736.0
105,106,2021,The Battle at Lake Changjin,808407908,333214.0,808074694.0
106,107,2007,Shrek the Third,807330936,322719944.0,484610992.0
107,108,1982,E.T. the Extra-Terrestrial,797307407,439454989.0,357852418.0
108,109,2004,Spider-Man 2,797001599,375828527.0,421173072.0
109,110,2017,Coco,796135836,210460015.0,585675821.0
110,111,2017,Pirates of the Caribbean: Dead Men Te…,794861794,172558876.0,622302918.0
111,112,2019,Jumanji: The Next Level,792472668,316831246.0,475641422.0
112,113,2013,Fast and Furious 6,789300444,238679850.0,550620594.0
113,114,2008,Indiana Jones and the Kingdom of the …,786635413,317101119.0,469534294.0
114,115,2018,Deadpool 2,786362370,324591735.0,461770635.0
115,116,2018,Mission: Impossible—Fallout,786269620,220159104.0,566110516.0
116,117,2004,Harry Potter and the Prisoner of Azkaban,784234714,250853809.0,533380905.0
117,118,2016,Deadpool,781947691,363070709.0,418876982.0
118,119,1977,Star Wars Ep. IV: A New Hope,775398007,460998007.0,314400000.0
119,120,2022,The Batman,772512903,369612903.0,402900000.0
120,121,2014,Guardians of the Galaxy,770882395,333714112.0,437168283.0
121,122,2006,The Da Vinci Code,767820459,217536138.0,550284321.0
122,123,2014,The Hunger Games: Mockingjay - Part 1,766575131,337135885.0,429439246.0
123,124,2022,Thor: Love and Thunder,760928081,343256830.0,417671251.0
124,125,2019,Fast & Furious Presents: Hobbs & Shaw,760732926,173956935.0,586775991.0
125,126,2021,No Time to Die,758929771,160891007.0,598038764.0
126,127,2012,The Amazing Spider-Man,758576824,262717220.0,495859604.0
127,128,2014,Maleficent,758536735,241407328.0,517129407.0
128,129,2009,2012,757677748,166112167.0,591565581.0
129,130,2010,Shrek Forever After,756244673,238736787.0,517507886.0
130,131,2024,Wicked,755241738,473231120.0,282010618.0
131,132,2016,Suicide Squad,749200054,325100054.0,424100000.0
132,133,2014,X-Men: Days of Future Past,747862775,233921534.0,513941241.0
133,134,2012,Madagascar 3: Europe’s Most Wanted,746921271,216391482.0,530529789.0
134,135,2013,Monsters University,743455810,268488329.0,474967481.0
135,136,2019,Ne Zha (哪吒之魔童降世),742718496,3695533.0,739022963.0
136,137,2003,The Matrix Reloaded,738576929,281553689.0,457023240.0
137,138,2009,Up,731463377,293004164.0,438459213.0
138,139,2024,Mufasa: The Lion King,722618595,254567693.0,468050902.0
139,140,2005,"The Chronicles of Narnia: The Lion, t…",720539572,291710957.0,428828615.0
140,141,2021,F9: The Fast Saga,719360068,173005945.0,546354123.0
141,142,2024,Dune: Part Two,715206195,282709065.0,432497130.0
142,143,2014,Captain America: The Winter Soldier,714401889,259746958.0,454654931.0
143,144,2023,Fast X,714375114,146126015.0,568249099.0
144,145,2014,Dawn of the Planet of the Apes,710644566,208545589.0,502098977.0
145,146,2014,The Amazing Spider-Man 2,709672746,203530343.0,506142403.0
146,147,2007,Transformers,708272592,319246193.0,389026399.0
147,148,2010,The Twilight Saga: Eclipse,705134076,300834957.0,404299119.0
148,149,2017,It,704128874,328828874.0,375300000.0
149,150,2011,Mission: Impossible—Ghost Protocol,694713230,209397903.0,485315327.0
150,151,2023,Spider-Man: Across the Spider-Verse,690824738,381593754.0,309230984.0
151,152,2015,Mission: Impossible—Rogue Nation,688858992,195042377.0,493816615.0
152,153,2009,The Twilight Saga: New Moon,688147362,297214449.0,390932913.0
153,154,2013,Gravity,684657731,274092705.0,410565026.0
154,155,2016,Moana,684357500,248757044.0,435600456.0
155,156,2011,"The Twilight Saga: Breaking Dawn, Part 1",682400983,281791883.0,400609100.0
156,157,1994,Forrest Gump,679835137,330151138.0,349683999.0
157,158,2012,The Hunger Games,677923379,408010692.0,269912687.0
158,159,2016,Doctor Strange,676343174,232641920.0,443701254.0
159,160,1999,The Sixth Sense,672806292,293506292.0,379300000.0
160,161,2013,Man of Steel,667999518,291045518.0,376954000.0
161,162,2025,Demon Slayer -Kimetsu no Yaiba- The M…,667990863,133676559.0,534314304.0
162,163,2011,Kung Fu Panda 2,664837547,165249063.0,499588484.0
163,164,2017,Justice League,661324295,229024295.0,432300000.0
164,165,2002,Star Wars Ep. II: Attack of the Clones,656695615,310676740.0,346018875.0
165,166,2018,Fantastic Beasts: The Crimes of Grind…,655755901,159555901.0,496200000.0
166,167,2003,Pirates of the Caribbean: The Curse o…,654310819,305410819.0,348900000.0
167,168,2012,Men in Black 3,654213485,179020854.0,475192631.0
168,169,2015,The Martian,653609107,228433663.0,425175444.0
169,170,2006,Ice Age: The Meltdown,651899282,195330621.0,456568661.0
